video_id,title,description,channel,published,views,likes,comments
owLVz_wvG4Q,GLOSSIER IS AT SEPHORA...so lets try it,SHOP GLOSSIER HERE Sephora https://go.magik.ly/ml/1rwk1/ Glossier https://rstyle.me/+68PwUNDEJWX4BaWWPvvJmg ...,Morgan Turner,2023-03-16T23:00:23Z,54498,2207.0,138.0
1cF95lZRUhI,🌸 REFORMULATED GLOSSIER PERFECTING SKIN TINT REVIEW/DEMO,Hi fraaaanssss I hope you enjoyed this video! I'm a sucker for Glossier products and this updated skin tint is the best thing that ...,kristyn goodwin,2018-06-11T21:56:06Z,16502,165.0,41.0
OBFRj4nu5JE,Glossier: Skin Tint &amp; Stretch Concealer Review | Valentina Rezk,"I have been wanting to try out the brand glossier so obviously, you probably know them from many things whether that be they boy ...",Valentina Rezk,2020-07-13T17:24:15Z,735,8.0,6.0
xK8Y41PqpZE,Glossier Review,"Review of Glossier makeup and skincare products. I've been testing out the glassier perfecting skin tint, glossier priming ...",Serein Wu Beauty ,2015-09-22T13:00:01Z,28679,360.0,48.0
SBx13PT71FE,GLOSSIER MAKEUP REVIEW (every product!),hey! today I give a quick review of every glossier makeup product -check out this vid for a review of glossier's skincare: ...,Ruthie Barone,2018-12-23T20:13:19Z,5709,259.0,22.0
JeupVsn8qFk,GRWM Glossier Black Tie Set + Review,Twitter @daceyhapa ‣ Instagram @daceecash ‣ Snapchat @daceycash ‣Track is Goldroom Fifteen | (Oxford Club Mix)﻿ ...,Dacey Cash,2016-12-12T23:59:35Z,22258,537.0,72.0
lsx94LQmW6g,Trying Glossier Makeup!! Wear Test + First Impressions,Full face of Glossier makeup with Samantha Jane - SUBSCRIBE to my channel for more reviews: http://bit.ly/samanthajanesub.,Samantha Jane,2020-11-15T12:06:53Z,11362,413.0,65.0
W2EUoOw9blA,Glossier Cloud Paint &amp; Perfecting Skin Tint | Demo &amp; Review | Murphy Beltowski,Click here for 20% off Your first purchase!! www.glossier.com/reps/murphy Glossier's Website: ...,Murphy Blosil,2017-04-11T14:51:43Z,292,2.0,0.0
BBIh11pSlHs,I Bought EVERY &quot;SKIN TINT&quot; at SEPHORA  &amp; TESTED Them Back to Back,Sign up TODAY to become a Beauty Insider Member! ⬇️ CLICK the link below! https://www.sephora.com/profile/BeautyInsider ...,Makeup By Nikki La Rose,2024-07-20T13:00:19Z,565016,9785.0,937.0
QMOEt4okgyE,Flawless Coverage BUT Does it Last???| Glossier Review + 12 HR Wear Test| Oily Skin,OPEN for more info::.. LaVidaRosaStyle.com Get Your Glossier: https://re.glossier.com/566d09bc Products Mentioned: -Boy Brow ...,LaVidaRosa,2020-05-07T19:35:17Z,2278,104.0,22.0
