video_id,title,description,channel,published,views,likes,comments
3augmzh5iuY,Blend that perfect cc cushion into your skin to achieve that glowy natural look! ✨,dewha #dewhaskin #makeup #ytshorts.,Dewha,2023-04-03T05:28:31Z,211,1.0,0.0
PvTyzTS7kO4,Testing top Korean TONE UP sunscreens ☀️ #hera #dalba,,Jenny Moon,2025-02-26T20:42:13Z,69589,2658.0,29.0
sPMwLQp18Rg,The New and Improve Dewha&#39;s Perfect Glow CC Cushion with Better Coverage upto 16 hrs of Wearing ✨💖,dewha #dewhaskin #beautytips #skincare #skincareph #makeup #antiaging #skinaging #sheetmask #antiagingserum #serum ...,Dewha,2023-10-08T00:00:20Z,46,2.0,0.0
Bus8mlPcem0,Sulwhasoo Concentrated Ginseng Serum,"REJUVENATING POWERS OF GINSENG, ENCAPSULATED #Sulwhasoo #ConcentratedGinsengSerum #GINSENOMICS™ ...",Sulwhasoo US,2023-03-22T22:58:42Z,5800,3.0,0.0
BM3nBNAlrgo,Serum nhân sâm Sulwhasoo đáng tiền lắm nha mn 🫶🏼 #nghien9hang #short #reviewmypham #duongda,,Lucia ,2023-07-11T13:00:11Z,5627,162.0,19.0
bW4mzG0xrwo,Current PM Skincare Favorites Sephora Snags! - Sulwhasoo and Tula - #attorneybrooke,Welcome back to my channel everyone! Check out a couple of new PM skin care products that I am absolutely in LOVE with!,AttorneyBrooke ,2022-10-25T14:11:11Z,150,7.0,4.0
qSJ48T6AlHE,Sulwhasoo | First Care Activating Serum VI | Start with Art,START WITH ART Karya seni dalam sebuah kemasan. TEROBOSAN PENTING RUTINITAS PERAWATAN KULIT HARIAN ...,Sulwhasoo Indonesia,2023-03-13T07:02:47Z,1096212,7.0,0.0
QKjSXYxSqFE,SULWHASOO Essential Skin Refiner,Ищите по лучшим ценам здесь: http://ow.ly/nUGp9 Подпишитесь и будьте в курсе всех скидок: http://ow.ly/oTRX6 ...,Фан-клуб StrawberryNet,2013-08-22T09:00:15Z,114,1.0,0.0
DSLBK87RlD0,Testing out luxury skincare for a month... is it worth your money?,"As a girly with sensitive acne-prone skin, I wanted to test Sephora's top rated luxury brands and some luxe Korean luxury skincare ...",Christine Le,2023-09-17T15:45:00Z,40865,602.0,39.0
TBQM9DXCUoY,Sulwhasoo Concentrated Ginseng Renewing Serum | Honest Review,Amazon Link: https://amzn.to/4cF2tsX Walmart Link: https://walmrt.us/3Y1vwCf My Amazon Storefront: ...,Elite Product Pros,2024-07-14T13:00:23Z,755,2.0,0.0
M0-pu9oUcRc,Sulwhasoo Gentle Cleansing Foam | Honest Review,Amazon Link: https://amzn.to/4cEy0ei Walmart Link: https://walmrt.us/4cC92w9 My Amazon Storefront: ...,Elite Product Pros,2024-07-14T23:00:17Z,749,2.0,0.0
ahdhiDMiVYY,SULWHASOO ANTI-AGING ROUTINE | FIRST IMPRESSIONS + HONEST REVIEW,"Shop the products with my code: JUZAPO7 on YesStyle Hey everyone! I'm Julia, and today I'm trying out the luxurious Sulwhasoo ...",Julia Zapo,2025-04-08T16:00:07Z,157,9.0,10.0
49FZtqYo_Pg,"Is Sulwhasoo Ultimate S Cream Worth the Hype? Honest Review on Hydration, Firming &amp; Anti-Aging","Sulwhasoo Ultimate S Cream: Hydrates, Visibly Firm, Anti-aging https://amzn.to/4drRLqO If you buy from these links, we might ...",Beautyistic,2025-05-23T13:13:44Z,13,0.0,1.0
